Iteration No: 1 started. Evaluating function at random point.
BO-GP took 0.0044 sec
Epoch 71/1000 | val_rmse: 0.8306 - val_mae: 0.6491 - took 74.1 sec
Epoch 72/1000 | val_rmse: 0.8305 - val_mae: 0.6490 - took 74.0 sec
Epoch 73/1000 | val_rmse: 0.8303 - val_mae: 0.6489 - took 74.1 sec
Epoch 74/1000 | val_rmse: 0.8302 - val_mae: 0.6488 - took 74.1 sec
Epoch 75/1000 | val_rmse: 0.8302 - val_mae: 0.6487 - took 73.8 sec
Epoch 76/1000 | val_rmse: 0.8255 - val_mae: 0.6449 - took 74.3 sec
Epoch 77/1000 | val_rmse: 0.8252 - val_mae: 0.6447 - took 74.1 sec
Epoch 78/1000 | val_rmse: 0.8250 - val_mae: 0.6446 - took 73.8 sec
Epoch 79/1000 | val_rmse: 0.8250 - val_mae: 0.6446 - took 74.1 sec
Epoch 80/1000 | val_rmse: 0.8248 - val_mae: 0.6444 - took 74.3 sec
Epoch 81/1000 | val_rmse: 0.8248 - val_mae: 0.6444 - took 73.8 sec
Epoch 82/1000 | val_rmse: 0.8247 - val_mae: 0.6444 - took 74.1 sec
Epoch 83/1000 | val_rmse: 0.8247 - val_mae: 0.6444 - took 74.0 sec
Epoch 84/1000 | val_rmse: 0.8247 - val_mae: 0.6444 - took 74.0 sec
Epoch 85/1000 | val_rmse: 0.8247 - val_mae: 0.6444 - took 74.1 sec
0.8248 183 0.05181 85
Iteration No: 1 ended. Evaluation done at random point.
Time taken: 6311.9326
Function value obtained: 0.8248
Current minimum: 0.8248
Iteration No: 2 started. Evaluating function at random point.
BO-GP took 0.0108 sec
Epoch 1/1000  | val_rmse: 1.4773 - val_mae: 1.2244 - took 146.0 sec
Epoch 2/1000  | val_rmse: 1.3290 - val_mae: 1.1169 - took 144.9 sec
Epoch 3/1000  | val_rmse: 1.2892 - val_mae: 1.0892 - took 144.7 sec
Epoch 4/1000  | val_rmse: 1.2727 - val_mae: 1.0778 - took 146.3 sec
Epoch 5/1000  | val_rmse: 1.2644 - val_mae: 1.0719 - took 144.9 sec
Epoch 6/1000  | val_rmse: 1.2596 - val_mae: 1.0686 - took 144.7 sec
Epoch 7/1000  | val_rmse: 1.2567 - val_mae: 1.0665 - took 146.1 sec
Epoch 8/1000  | val_rmse: 1.2549 - val_mae: 1.0652 - took 144.9 sec
Epoch 9/1000  | val_rmse: 1.2536 - val_mae: 1.0642 - took 145.3 sec
